CriticalErrors,StructuralErrors,MissingFields,EmptyContent,Hallucinations,UncertaintySignals,Warnings,RuleScore,Label
0,0,0,0,0,0,0,98,True
0,0,0,1,0,0,1,95,True
0,1,0,1,0,0,2,92,True
0,1,1,1,0,0,2,90,True
0,1,1,2,0,0,3,88,True
0,2,1,2,0,0,3,85,True
0,2,2,2,0,0,4,82,True
0,2,2,3,0,0,4,80,True
0,3,2,3,0,0,5,78,True

1,2,3,3,0,1,5,75,True
1,3,3,4,0,1,6,72,True
1,3,4,4,1,1,6,70,False
1,4,4,5,1,1,7,68,False

2,4,5,5,1,2,7,65,False
2,5,6,6,1,2,8,62,False
3,5,6,6,2,2,8,60,False
3,6,7,7,2,3,9,58,False
4,6,8,8,2,3,10,55,False
4,7,8,9,3,3,10,52,False
5,7,9,9,3,4,11,50,False
5,8,10,10,4,4,12,48,False
6,9,10,11,4,5,13,45,False
7,10,11,12,5,5,14,42,False
8,11,12,13,6,6,15,40,False
